file,dominant_freq_hz,spectral_power_in_band,spectral_snr,spectral_entropy,freq_stability_std,interval_cv,stroke_amp_cv,rise_fall_ratio,rise_time_cv,fall_time_cv,autocorr_at_period,cycle_shape_cv,cycle_corr_mean,phase_portrait_eccentricity,envelope_cv,top_bot_corr,left_right_corr,quadrant_cv_max,active_roi_fraction,motion_cv,flow_dom_freq
20260401_150817.mp4,10.94509181,0.659222,43.262037,2.195267,0.0,0.258364,0.361866,1.739343,0.271731,0.14729,0.607766,0.064434,0.835889,0.869526,0.488769,0.644713,-0.759706,0.22342,0.328609,0.226848,10.94509181
20260401_173215.mp4,10.936455,0.676856,62.715346,2.157314,0.116565,0.228181,0.377521,1.641026,0.275268,0.214528,0.639547,0.06031,0.93887,0.88327,0.47122,0.594293,-0.803412,0.226771,0.350815,0.233657,10.936455
20260401_195613.mp4,10.808081,0.648178,44.414987,2.34307557,0.069096,0.272293,0.382188,1.741206,0.261959,0.174727,0.651903,0.055241,0.890723,0.888438,0.519991,0.714013,-0.750715,0.223042,0.347507,0.210521,10.808081
20260401_222011.mp4,10.863787,0.618535,38.295417,2.220677,0.063148,0.279149,0.380336,1.766169,0.279995,0.219639,0.643253,0.055253,0.826398,0.884829,0.52994,0.636856,-0.77706,0.229346,0.357338,0.19936821,10.863787
20260402_004408.mp4,10.83612,0.623891,39.926368,2.213473,0.0,0.262954,0.374732,1.758105,0.290195,0.24477,0.643563,0.063091,0.674316,0.884955,0.528821,0.661669,-0.732325,0.234096,0.352453,0.19936821,10.83612
20260402_030806.mp4,10.863787,0.626374,56.995634,2.15725,0.029059,0.26509,0.381512,1.824722,0.248708,0.165812,0.636251,0.066104,0.834749,0.881904,0.540451,0.6441,-0.788645,0.230298,0.342075,0.205112,10.863787
20260402_053204.mp4,10.863787,0.622381,44.67809,2.238831,0.049628,0.25848,0.385428,1.787375,0.285726,0.206101,0.637822,0.054918,0.783564,0.882535,0.543669,0.655114,-0.785868,0.229968,0.342166,0.2062,10.863787
20260402_075602.mp4,10.735786,0.639213,63.539087,2.151584,0.0,0.264353,0.382687,1.781687,0.245293,0.206343,0.688322,0.053523,0.843568,0.902992,0.529019,0.645206,-0.777605,0.232152,0.342166,0.208744,10.735786
20260402_102000.mp4,10.771812,0.668429,36.574746,2.229336,0.0,0.238373,0.383239,1.623256,0.271814,0.278099,0.661381,0.087644,0.765467,0.892296,0.499948,0.649097,-0.771791,0.232135,0.347831,0.236435,10.771812
20260402_124358.mp4,10.827815,0.659827,45.158672,2.217455,0.0,0.242197,0.368258,1.699284,0.278982,0.20306,0.662405,0.057278,0.734517,0.892708,0.503465,0.638469,-0.791004,0.232542,0.347314,0.238667,10.827815
20260402_150756.mp4,10.76412,0.681883,39.842773,2.140104,0.0,0.243282,0.370778,1.5894243099999998,0.289746,0.28600790000000004,0.679736,0.09379230999999999,0.4285762,0.899633,0.480746,0.658909,-0.8038988499999999,0.229465,0.347222,0.232428,10.76412
20260402_173154.mp4,10.863787,0.671192,50.829379,2.277385,0.078094,0.246088,0.363898,1.641115,0.281613,0.264772,0.669965,0.06653,0.553308,0.895752,0.487873,0.635917,-0.762736,0.227855,0.347039,0.237476,10.863787
20260402_195552.mp4,10.808081,0.630815,49.873379,2.258242,0.418615,0.265603,0.372007,1.722137,0.266049,0.221929,0.632151,0.061524,0.855965,0.880136,0.516457,0.651279,-0.791907,0.22643,0.344359,0.223462,10.808081
20260402_221950.mp4,10.863787,0.623435,48.082033,2.224636,0.0,0.247683,0.397814,1.703883,0.271165,0.260626,0.645806,0.083504,0.628831,0.885885,0.5353,0.646312,-0.790804,0.233684,0.343872,0.222672,10.863787
20260403_004348.mp4,10.771812,0.621555,44.096061,2.220196,0.0,0.252498,0.383807,1.758355,0.264777,0.209508,0.660627,0.052134,0.777389,0.891991,0.539734,0.620442,-0.787078,0.232311,0.343385,0.202513,10.771812
20260403_030746.mp4,10.735786,0.635459,46.870377,2.186111,0.0,0.25246,0.394186,1.787471,0.269092,0.176479,0.679348,0.055542,0.656875,0.899494,0.528654,0.620829,-0.789665,0.228584,0.342197,0.200159,10.735786
20260403_053144.mp4,10.808081,0.627075,44.156658,2.204298,0.0,0.250342,0.386122,1.741994,0.24103185,0.28600790000000004,0.657431,0.051528,0.69177,0.890693,0.539018,0.630003,-0.784324,0.229565,0.342349,0.205334,10.808081
20260403_075541.mp4,10.7083526,0.6974509400000001,42.488496,2.193707,0.0,0.249102,0.389449,1.756691,0.250382,0.194784,0.701079,0.075163,0.4285762,0.907899,0.527475,0.646333,-0.766136,0.234159,0.341983,0.221049,10.7083526
20260403_101939.mp4,10.76412,0.641211,54.241847,2.16895,0.0,0.258011,0.369804,1.684212,0.276306,0.256962,0.670685,0.07478,0.753504,0.896042,0.515852,0.631062,-0.779438,0.23217,0.342745,0.221117,10.76412
20260403_124337.mp4,10.76412,0.649073,53.564079,2.204185,0.0,0.249666,0.392663,1.70098,0.252979,0.200561,0.669349,0.055946,0.694947,0.895507,0.520039,0.646842,-0.727774,0.230454,0.344938,0.223224,10.76412
20260403_150735.mp4,10.83612,0.64241,55.110087,2.204006,0.041084,0.262576,0.382329,1.724816,0.295267,0.215111,0.664413,0.063488,0.807562,0.893524,0.510727,0.622177,-0.800721,0.229978,0.343354,0.222156,10.83612
20260403_173133.mp4,10.8,0.628369,43.583824,2.213719,0.0,0.252979,0.398253,1.684466,0.272651,0.256938,0.658998,0.05434,0.676258,0.891336,0.530594,0.628505,-0.785504,0.230785,0.343537,0.204132,10.8
20260403_195531.mp4,10.756579,0.629286,59.807247,2.204425,0.028865,0.262265,0.38259,1.733496,0.31258659,0.284954,0.664734,0.058392,0.819053,0.893675,0.521176,0.618977,-0.788816,0.228904,0.342775,0.202798,10.756579
20260403_221929.mp4,10.83612,0.633309,56.317255,2.184741,0.29626,0.257429,0.382542,1.698254,0.275419,0.227179,0.650279,0.05653,0.824703,0.887744,0.532565,0.602067,-0.792455,0.230029,0.343811,0.217804,10.83612
20260404_004327.mp4,10.779661,0.633915,55.242268,2.207833,0.415284,0.255676,0.383979,1.720553,0.296186,0.244245,0.656866,0.057274,0.792729,0.890451,0.518771,0.62151,-0.750946,0.230212,0.344146,0.215074,10.779661
20260404_030725.mp4,10.771812,0.622325,51.380351,2.200299,0.292575,0.266038,0.370145,1.770026,0.269544,0.201799,0.660124,0.058521,0.790906,0.89179,0.521303,0.628515,-0.793005,0.228901,0.34372,0.214884,10.771812
20260404_053123.mp4,10.8,0.618729,43.649444,2.280528,0.0,0.249192,0.384395,1.706713,0.259803,0.240861,0.66207,0.061068,0.675124,0.892584,0.526857,0.623278,-0.792016,0.227992,0.343689,0.218362,10.8
20260404_075521.mp4,10.771812,0.637222,49.4929,2.24659,0.049957,0.26236,0.371731,1.721106,0.272481,0.197648,0.660491,0.060268,0.673725,0.89193,0.530462,0.622539,-0.759484,0.229682,0.343232,0.217492,10.771812
20260404_101918.mp4,10.76412,0.620653,50.084332,2.208439,0.0,0.279924,0.398423,1.775702,0.272489,0.205619,0.636982,0.065353,0.770369,0.88218,0.548353,0.637482,-0.791442,0.230267,0.343445,0.202194,10.76412
20260404_124317.mp4,10.844595,0.61838,50.40736,2.197561,0.0,0.245144,0.392804,1.738806,0.269241,0.2599,0.663204,0.056015,0.711976,0.893041,0.533294,0.691943,-0.742345,0.232125,0.360465,0.208218,10.844595
20260404_150715.mp4,10.808081,0.624455,42.41533,2.17427,0.0,0.28722066999999996,0.387817,1.767626,0.273857,0.188867,0.667095,0.061486,0.797001,0.894615,0.538889,0.632551,-0.784992,0.237433,0.347817,0.208886,10.808081
20260404_173112.mp4,10.76412,0.62164,41.45437,2.20752,0.290592,0.278908,0.38176,1.788688,0.265131,0.197024,0.644367,0.06247,0.67984,0.885297,0.539114,0.59457,-0.78066,0.240011,0.338137,0.205326,10.76412
20260404_195510.mp4,10.76412,0.602757,64.149492,2.180042,0.0,0.271151,0.392656,1.74813,0.276358,0.284289,0.649249,0.051782,0.850576,0.887316,0.56067456,0.7176948599999999,-0.786252,0.227557,0.352182,0.208317,10.76412
20260404_221908.mp4,10.76412,0.620723,51.642749,2.196649,0.290592,0.245821,0.404232,1.74525,0.286065,0.201231,0.656174,0.075431,0.584783,0.890175,0.544356,0.585631,-0.777274,0.247181,0.364525,0.223991,10.76412
20260405_004306.mp4,10.819672,0.615565,34.833481,2.210462,0.040541,0.254786,0.403302,1.708642,0.272342,0.208457,0.635455,0.074948,0.825611,0.881549,0.548868,0.58842,-0.784474,0.242599,0.341841,0.224676,10.819672
20260405_030704.mp4,10.76412,0.627671,40.799093,2.222895,0.0,0.272106,0.370251,1.824607,0.255932,0.211313,0.666037,0.04735241,0.782466,0.894174,0.539301,0.652787,-0.771619,0.238856,0.348886,0.204713,10.76412
20260405_053102.mp4,10.808081,0.625054,40.853304,2.167119,0.0,0.247325,0.40523755,1.760204,0.255179,0.213921,0.653266,0.07272,0.718282,0.888976,0.544745,0.539495,-0.777479,0.253736,0.335708,0.221574,10.808081
20260405_075500.mp4,10.743243,0.642521,48.197787,2.203687,0.0,0.245026,0.393978,1.746193,0.245979,0.20538,0.69118,0.058687,0.591006,0.904108,0.529321,0.602339,-0.759206,0.237195,0.351659,0.220312,10.743243
20260405_101858.mp4,10.735786,0.635142,52.885228,2.165166,0.0,0.265567,0.369565,1.651852,0.264511,0.285289,0.684911,0.054854,0.810866,0.901671,0.516822,0.545439,-0.786439,0.240559,0.346943,0.21849,10.735786
20260405_124256.mp4,10.735786,0.627886,63.075245,2.155192,0.0,0.263206,0.361888,1.715385,0.252916,0.246207,0.675368,0.063284,0.766413,0.897905,0.519716,0.568227,-0.790223,0.230955,0.358471,0.22639,10.735786
20260405_150653.mp4,10.863787,0.622765,40.846483,2.214051,0.294242,0.275821,0.36882,1.768229,0.281789,0.197024,0.641959,0.052597,0.818482,0.884281,0.533446,0.60283,-0.77783,0.239789,0.341688,0.201707,10.863787
20260405_173051.mp4,10.8,0.64208,50.630379,2.126273,0.0,0.25385,0.376484,1.743142,0.260886,0.196976,0.671388,0.055601,0.723118,0.896325,0.509095,0.599805,-0.778757,0.242482,0.334416,0.226155,10.8
20260405_195450.mp4,10.743243,0.613811,43.249727,2.162442,0.0,0.265242,0.392052,1.74036,0.241546,0.261769,0.67112,0.05357,0.827856,0.89623,0.539551,0.711707,-0.78592,0.219215,0.326994,0.200448,10.743243
20260405_221847.mp4,10.76412,0.587433,48.997664,2.2053,0.0,0.258118,0.397377,1.767442,0.250184,0.240296,0.637641,0.061045,0.587409,0.882464,0.558567,0.679964,-0.780568,0.226438,0.328949,0.205573,10.76412
20260406_004245.mp4,10.792079,0.606402,55.770914,2.180538,0.0,0.26625,0.378725,1.787881,0.275916,0.175965,0.647291,0.060741,0.81879,0.886503,0.528785,0.541758,-0.77766,0.237915,0.337891,0.21503,10.792079
20260406_030643.mp4,10.863787,0.603977,56.048089,2.212196,0.056895,0.270945,0.373803,1.762755,0.291656,0.241527,0.637426,0.053732,0.695027,0.882367,0.549168,0.597823,-0.750336,0.230968,0.331036,0.203601,10.863787
20260406_053041.mp4,10.83612,0.60232,34.07981263,2.249002,0.292575,0.28722066999999996,0.386485,1.834667,0.253841,0.213167,0.632958,0.076777,0.626813,0.880478,0.555562,0.645969,-0.783595,0.240626,0.334372,0.210873,10.83612
20260406_075439.mp4,10.83612,0.62008,36.094575,2.198853,0.29626,0.250196,0.393709,1.752039,0.263187,0.180416,0.647148,0.049126,0.926154,0.886451,0.542681,0.560461,-0.785153,0.237907,0.330208,0.212731,10.83612
20260406_101837.mp4,10.83612,0.623477,53.291869,2.205446,0.292575,0.260774,0.382849,1.758974,0.24103185,0.169929,0.671877,0.059293,0.844215,0.896518,0.528318,0.596428,-0.786793,0.232995,0.340051,0.224193,10.83612
20260406_124235.mp4,10.735786,0.640127,44.723898,2.158566,0.0,0.249729,0.392691,1.702918,0.266366,0.241244,0.678421,0.059941,0.831206,0.899121,0.510309,0.580719,-0.740123,0.234919,0.352795,0.224559,10.735786
20260406_150633.mp4,10.735786,0.627571,49.58897,2.252152,0.029257,0.25397,0.390804,1.739454,0.271645,0.196532,0.67272,0.06136,0.827246,0.896858,0.528598,0.542208,-0.782315,0.246373,0.347822,0.222417,10.735786
20260406_173031.mp4,10.735786,0.625735,51.651948,2.195086,0.0,0.274871,0.383052,1.767089,0.262385,0.227595,0.674567,0.059138,0.711076,0.897593,0.524675,0.611783,-0.773077,0.230191,0.348892,0.22237,10.735786
20260406_195429.mp4,10.83612,0.61996,46.431043,2.171493,0.029257,0.282278,0.379208,1.77261,0.253477,0.163731,0.658177,0.062169,0.830039,0.890999,0.528408,0.518148,-0.781422,0.238441,0.342397,0.216848,10.83612
20260406_221827.mp4,10.844595,0.630752,55.986976,2.188388,0.049957,0.249331,0.40523755,1.756509,0.272873,0.194459,0.659311,0.073149,0.683995,0.891475,0.533474,0.623664,-0.768955,0.241532,0.344911,0.205355,10.844595
20260407_004225.mp4,10.83612,0.600348,60.691081,2.148342,0.294444,0.258169,0.382945,1.778068,0.258247,0.191528,0.645419,0.069362,0.810276,0.885742,0.554012,0.589158,-0.768399,0.247236,0.348185,0.208919,10.83612
20260407_030622.mp4,10.83612,0.612827,48.797706,2.204498,0.074065,0.257569,0.381953,1.762148,0.272307,0.176174,0.65177,0.057043,0.873036,0.888357,0.527385,0.556328,-0.777687,0.243216,0.335315,0.215942,10.83612
20260407_053020.mp4,10.8,0.601818,44.823955,2.215283,0.408095,0.270509,0.392813,1.84792408,0.280202,0.18326,0.641512,0.04735241,0.863078,0.884101,0.557056,0.63683,-0.786024,0.230383,0.349552,0.20686,10.8
