file,pump_start_s,pump_end_s,pump_duration_s
20260116_014124.mp4,10.03,49.93,39.9
20260116_050703.mp4,9.83,49.93,40.1
20260116_083242.mp4,9.83,50,40.17
20260116_115821.mp4,10.03,49.87,39.83
20260116_152400.mp4,9.83,49.63,39.8
20260116_184939.mp4,9.83,50.1,40.27
20260116_221518.mp4,9.83,49.93,40.1
20260117_014057.mp4,10.03,50.2,40.17
20260117_050636.mp4,10.03,49.7,39.67
20260117_083215.mp4,9.83,49.97,40.13
20260117_115754.mp4,10.03,49.8,39.77
20260117_152333.mp4,10.03,49.9,39.87
20260117_184912.mp4,10.03,49.63,39.6
20260117_221452.mp4,9.83,51.1,41.27
20260118_014031.mp4,9.83,49.93,40.1
20260118_050610.mp4,9.83,49.93,40.1
20260118_083149.mp4,10.03,49.93,39.9
20260118_115728.mp4,9.83,49.9,40.07
20260118_152307.mp4,10.03,50.57,40.53
20260118_184846.mp4,10.03,49.93,39.9
20260118_221425.mp4,10.03,49.43,39.4
